title,pos_score_OL,neg_score_OL,pos_score_MPQA,neg_score_MPQA,pos_score_LIWC,neg_score_LIWC,pos_score_ANEW,neg_score_ANEW,length,date,country,continent
"Montenegrin parliamentary election, 2009",3.2258,3.2258,6.4516,5.3763,6.4516,2.1505,1.75,0.0,93,2009-03-29,,
Third Battle of Manzanillo,5.2632,7.0175,10.5263,8.7719,7.0175,3.5088,1.7061,0.0,57,1898-07-18,,
"Ternopil Oblast local election, 2009",3.4653,1.4851,6.4356,1.4851,4.9505,0.495,1.5371,0.0223,202,2009-03-15,,
Dream 7,1.3333,2.6667,6.0,2.6667,6.0,2.0,1.2867,0.0,150,2009-03-08,,
Dream 8,1.1905,2.381,3.5714,2.381,3.5714,1.1905,1.3274,0.0,84,2009-04-05,,
"Michigan gubernatorial election, 2002",1.227,2.454,3.681,2.454,3.681,1.227,1.3528,0.0,163,2002-11-05,,
1997 Intercontinental Cup,1.4706,2.9412,4.4118,2.9412,4.4118,1.4706,1.4191,0.0,68,1997-12-02,,
Battle of the Monongahela,4.717,4.2453,8.0189,4.717,4.717,3.3019,1.3785,1.2653,212,1755-07-09,United States,North America
K-1 World MAX 2005 Championship Final,1.7857,3.5714,5.3571,3.5714,5.3571,1.7857,1.7232,0.0,56,2005-07-20,,
K-1 World MAX 2004 World Tournament Final,1.7857,3.5714,5.3571,3.5714,5.3571,1.7857,1.7232,0.0,56,2004-07-07,,
K-1 World MAX 2003 World Tournament Final,1.7857,3.5714,5.3571,3.5714,5.3571,1.7857,1.7232,0.0,56,2003-07-05,,
K-1 World MAX 2002 World Tournament Final,1.7857,3.5714,5.3571,3.5714,5.3571,1.7857,1.7232,0.0,56,2002-05-11,,
Drone strikes in Pakistan,4.3434,6.2318,8.4689,7.4012,4.3361,4.2272,1.526,0.7425,13768,2004-06-18,,
Huck's Defeat,3.0,10.0,4.0,11.0,3.0,8.0,1.6125,0.495,100,1780-07-12,United States,North America
UFC 97,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,20,2009-04-18,,
WEC 36,0.0,7.6923,0.0,7.6923,0.0,2.5641,0.8462,0.0,39,2008-11-05,,
World Victory Road Presents: Sengoku 7,3.9903,1.5719,6.7715,3.9903,2.5393,4.3531,3.6883,0.565,827,2009-03-20,,
1970 Gediz earthquake,1.6667,3.3333,5.0,3.3333,5.0,1.6667,1.2917,0.0,60,1970-03-28,Turkey,Asia
Battle of Broodseinde,1.7647,1.1765,4.902,2.3529,3.9216,1.1765,1.1221,0.0049,510,1917-10-04,Belgium,Europe
World Fantasy Convention,5.8824,0.0,8.8235,0.0,2.9412,0.0,0.0809,0.0,34,1975-10-31,,
Ramadan Revolution,4.3092,5.2233,7.8872,6.1896,4.8315,2.2199,1.8069,0.4608,3829,1963-02-10,,
Attacks on the Butte de Warlencourt,0.0,5.5556,0.0,5.5556,0.0,0.0,0.0,0.0,18,1916-11-16,France,Europe
"Wyoming gubernatorial election, 2010",7.1429,0.0,7.1429,0.0,7.1429,0.0,0.5357,0.0,14,2010-11-02,,
"Kansas gubernatorial election, 2010",1.7544,3.5088,5.2632,3.5088,5.2632,1.7544,1.693,0.0,114,2010-11-02,,
"United States Senate election in Kansas, 2010",3.125,3.125,9.375,3.125,6.25,3.125,1.0052,0.0,96,2010-11-02,,
"United States presidential election in Kansas, 2008",3.4783,1.7391,6.9565,2.6087,5.2174,1.7391,0.8391,0.0,115,2008-11-04,,
"United States Senate election in Kansas, 2008",1.2346,2.4691,6.1728,2.4691,6.1728,2.4691,1.1914,0.0,81,2008-11-04,,
Battle of Marsa Talamat,2.9851,2.1322,6.823,2.5586,4.2644,1.919,1.8358,0.299,469,1973-10-07,,
"United States Senate election in Washington, 2010",2.8571,2.8571,7.1429,3.5714,5.7143,1.4286,1.5214,0.0,140,2010-11-02,,
"United States Senate election in Alabama, 2010",3.3058,3.3058,10.7438,6.6116,7.438,3.3058,0.7975,0.3884,121,2010-11-02,,
"United States Senate election in Alaska, 2010",4.3204,2.8155,7.4757,3.5437,4.2233,1.4563,1.8388,0.16,2060,2010-11-02,,
"United States Senate election in Arizona, 2010",2.5773,1.5464,8.7629,4.6392,5.6701,1.5464,0.4974,0.2423,194,2010-11-02,,
"United States Senate election in Connecticut, 2010",4.8321,2.3906,7.7823,3.3062,5.0865,1.2716,1.7925,0.2233,1966,2010-11-02,,
14 July Revolution,2.3739,6.5282,6.2315,7.4184,1.4837,2.6706,1.4896,0.3427,337,1958-07-14,,
1962 Buin Zahra earthquake,1.0204,4.0816,4.4218,3.0612,4.0816,2.0408,0.9116,0.3316,294,1962-09-01,Iran,Asia
1843 Wanganui earthquake,0.0,5.4945,5.4945,5.4945,3.2967,0.0,0.0,0.0,91,1843-07-08,New Zealand,Oceania
2009 A-League Grand Final,0.9259,1.8519,2.7778,1.8519,2.7778,0.9259,0.8935,0.0,108,2009-02-28,,
"California gubernatorial election, 1946",3.125,3.125,6.25,0.0,3.125,0.0,1.0,0.0,32,1946-11-05,,
"United States Senate election in Arkansas, 2010",0.25,0.5,1.5,0.5,1.5,0.5,1.0375,0.0,400,2010-11-02,,
"United States Senate election in Hawaii, 2010",1.1236,4.4944,6.7416,3.3708,7.8652,2.2472,1.9551,0.0,89,2010-11-02,,
"United States Senate election in Georgia, 2010",2.3018,3.0691,9.2072,4.3478,5.3708,2.3018,1.1138,0.1656,391,2010-11-02,,
"United States Senate election in Idaho, 2010",0.9259,1.8519,4.6296,1.8519,4.6296,1.8519,0.8935,0.0,108,2010-11-02,,
"United States Senate election in Iowa, 2010",2.1739,1.4493,5.0725,1.4493,3.6232,1.4493,0.6993,0.0,138,2010-11-02,,
"United States Senate election in Kentucky, 2010",3.1015,2.5376,6.015,2.5376,3.4774,1.2218,1.1133,0.1412,1064,2010-11-02,,
"United States Senate election in Maryland, 2010",1.2048,2.4096,6.0241,2.4096,6.0241,2.4096,1.1627,0.0,83,2010-11-02,,
"United States Senate election in Nevada, 2010",1.1628,3.4884,5.814,4.6512,5.814,2.3256,1.1221,0.0,86,2010-11-02,,
"United States Senate election in South Carolina, 2010",6.2787,2.6799,10.8729,4.9005,5.8193,1.5314,2.1187,0.1401,1306,2010-11-02,,
"United States Senate election in Utah, 2010",4.9624,2.782,10.6015,3.609,5.1128,1.9549,1.2953,0.1816,1330,2010-11-02,,
"United States Senate election in Vermont, 2010",3.0675,3.681,6.7485,2.454,9.2025,1.227,4.1779,0.8972,163,2010-11-02,,
"United States House of Representatives election in Alaska, 2010",1.9608,1.9608,1.9608,3.9216,0.0,0.0,0.7451,0.0245,51,2010-11-02,,
"United States House of Representatives elections in Idaho, 2010",1.2658,2.5316,6.3291,2.5316,6.3291,2.5316,1.2215,0.0,79,2010-11-02,,
"United States House of Representatives elections in Massachusetts, 2010",4.3478,2.1739,6.5217,2.1739,4.3478,0.0,6.2935,0.0,46,2010-11-02,,
Battle of Rudau,3.3784,1.3514,8.1081,2.027,2.027,0.6757,1.4882,0.0439,148,1370-02-18,Russia,Europe
Battle of Ushant (1944),0.0,1.9608,5.8824,1.9608,1.9608,1.9608,1.3088,0.0,51,1944-06-09,,
WrestleMania XXVI,2.649,1.2417,5.3808,2.9801,3.4768,0.745,1.0269,0.0894,1208,2010-03-28,,
1939 Chillán earthquake,1.2195,2.439,3.6585,2.439,3.6585,1.2195,1.8598,0.0,82,1939-01-24,Chile,South America
"Massachusetts gubernatorial election, 1982",13.7931,3.4483,31.0345,3.4483,17.2414,3.4483,0.0,0.0,29,1982-11-02,,
"Illinois gubernatorial election, 2010",4.5016,2.7331,8.8424,3.0547,5.627000000000002,1.6077,1.8509,0.2685,622,2010-11-02,,
General Conference (LDS Church),4.8793,3.9922,9.3803,4.5923,5.3881,1.6177,2.363,0.1802,7665,1830-06-09,,
"United States Senate election in Kentucky, 2004",5.5556,2.7778,11.1111,2.7778,2.7778,2.7778,0.0,0.0,36,2004-11-02,,
1929 Arthur's Pass earthquake,0.0,7.0588,3.5294,7.0588,2.3529,1.1765,0.0,0.0,85,1929-03-09,New Zealand,Oceania
Battle of Abancay,0.0,8.3333,8.3333,8.3333,0.0,8.3333,0.0,0.0,12,1537-07-12,Peru,South America
Bangladesh Rifles revolt,3.0635,7.221,5.9081,8.7527,3.5011,2.8446,1.2801,0.4524,457,2009-03-02,,
NATO intervention in Bosnia and Herzegovina,1.8182,3.6364,5.4545,3.6364,5.4545,1.8182,1.7545,0.0,55,1992-07-16,,
Battle of Grunwald,4.5177,2.3606,7.3057,4.1311,4.2125,2.4217,1.5456,0.199,4914,1410-07-15,Poland,Europe
48th World Science Fiction Convention,1.0417,2.0833,3.125,2.0833,3.125,1.0417,1.0052,0.0,96,1990-08-27,,
"Conservative Party (UK) leadership election, 1975",4.1667,0.0,4.1667,0.0,0.0,0.0,1.8125,0.0,24,1975-02-04,,
Battle of Bucharest,4.4898,10.6122,8.5714,13.0612,3.2653,4.898,0.4541,0.0,245,1916-12-06,,
1966 Syrian coup d'état,10.0,20.0,10.0,20.0,0.0,0.0,0.0,0.975,10,1966-02-23,,
"Dutch general election, 2002",0.0,0.0,0.0,0.0,0.0,0.0,0.3929,0.0,14,2002-05-15,,
"United States Senate election in Texas, 2012",2.9703,1.9802,12.3762,2.4752,8.9109,2.4752,2.3391,0.0,202,2012-11-06,,
Battle of Bornhöved (1813),5.2632,5.2632,0.0,5.2632,10.5263,0.0,3.7632,0.0,19,1813-12-07,,
"Georgia gubernatorial election, 1970",2.7778,2.7778,4.6296,2.7778,3.7037,1.8519,2.463,0.0,108,1970-11-03,,
"Louisiana gubernatorial election, 1987",2.3256,2.3256,2.3256,0.0,2.3256,0.0,0.0,0.0,43,1987-10-24,,
"Louisiana gubernatorial election, 1991",4.3478,5.7971,8.6957,7.2464,2.8986,5.7971,0.0,2.0399,69,1991-11-16,,
Newport Rising,3.5088,6.4327,5.848,7.6023,2.924,2.3392,0.8816,0.3977,171,1839-11-04,,
"Vermont gubernatorial election, 2010",2.5806,1.9355,7.7419,2.5806,9.0323,1.2903,3.3903,0.0,155,2010-11-02,,
"Oklahoma gubernatorial election, 2010",1.2987,2.5974,6.4935,2.5974,6.4935,2.5974,1.2532,0.0,77,2010-11-02,,
"Alabama gubernatorial election, 2010",1.5625,2.2321,4.4643,3.125,3.5714,1.3393,0.9955,0.1049,448,2010-11-02,,
UFC 101,7.4219,3.125,10.5469,5.4688,5.4688,2.3438,2.6338,0.3184,256,2009-08-08,,
Battle of Ladysmith,1.7241,3.4483,8.6207,3.4483,8.6207,3.4483,1.6638,0.0,58,1899-10-30,South Africa,Africa
"Kent County Council election, 2009",1.9802,3.9604,3.9604,3.9604,2.9703,1.9802,0.9554,0.0,101,2009-06-04,,
Battle of Alvøen,5.8824,0.0,5.8824,0.0,0.0,0.0,0.0,0.0,17,1808-05-16,,
Granada War,4.5718,4.8032,8.2755,6.1343,4.456,2.662,1.2883,0.1819,1728,1492-01-02,,
Battle of Transylvania,7.8947,5.2632,13.1579,6.1404,6.1404,3.5088,0.318,0.1623,114,1916-10-26,,
"United Kingdom local elections, 2009",3.0645,1.7742,6.9355,2.5806,5.0,0.9677,1.2569,0.2069,620,2009-06-04,,
Operation München,3.3844,5.7212,6.8493,9.1861,4.7542,3.7873,2.1587,1.0355,1241,1941-07-24,,
2009 Camp Capsat mutiny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2009-03-08,,
"Hawaii gubernatorial election, 2010",3.1915,3.1915,5.3191,3.1915,4.2553,1.0638,1.0266,0.0,94,2010-11-02,,
"Arkansas gubernatorial election, 2010",1.3699,2.7397,4.1096,2.7397,4.1096,1.3699,1.3219,0.0,73,2010-11-02,,
Battle of Loano,1.9608,0.0,3.9216,0.0,1.9608,0.0,0.1176,0.0,51,1795-11-23,Italy,Europe
Operation Fritham,3.5714,2.381,7.1429,2.381,4.7619,1.1905,2.131,0.0,84,1942-04-30,,
"United States House of Representatives elections in Virginia, 2010",3.9216,4.902,6.3725,5.8824,2.451,0.4902,0.8211,0.0,204,2010-11-02,,
"United States Senate election in Connecticut, 2012",2.7027,2.7027,9.9099,2.7027,5.4054,1.8018,0.991,0.0,111,2012-11-06,,
"California Attorney General election, 2010",2.381,1.5873,5.5556,3.9683,2.7778,1.5873,1.2599,0.0,252,2010-11-02,,
"California Secretary of State election, 1994",1.6667,3.3333,8.3333,3.3333,8.3333,3.3333,1.6083,0.0,60,1994-11-08,,
"California lieutenant gubernatorial election, 1994",1.2658,2.5316,6.3291,2.5316,6.3291,2.5316,1.2215,0.0,79,1994-11-08,,
"California lieutenant gubernatorial election, 1998",1.7857,3.5714,8.9286,3.5714,8.9286,3.5714,1.7232,0.0,56,1998-11-03,,
"United States Senate election in California, 1994",4.375,3.125,9.375,5.625,6.25,2.5,0.6375,0.6281,160,1994-11-08,,
"United States House of Representatives elections in California, 1994",1.6949,3.3898,8.4746,3.3898,8.4746,3.3898,1.6356,0.0,59,1994-11-08,,
"California Insurance Commissioner election, 1994",1.7241,3.4483,5.1724,3.4483,5.1724,1.7241,1.6638,0.0,58,1994-11-08,,
"California Superintendent of Public Instruction election, 1998",1.7857,3.5714,8.9286,3.5714,8.9286,3.5714,1.7232,0.0,56,1998-03-03,,
"California State Assembly election, 1992",3.9474,3.9474,7.8947,3.9474,7.8947,1.3158,3.4013,0.0,76,1992-11-03,,
"California State Assembly election, 2002",1.6949,3.3898,5.0847,3.3898,5.0847,1.6949,1.6356,0.0,59,2002-11-02,,
"California State Assembly election, 2004",1.6949,3.3898,5.0847,3.3898,5.0847,1.6949,1.6356,0.0,59,2004-11-02,,
"California State Senate election, 1998",1.7241,3.4483,5.1724,3.4483,5.1724,1.7241,1.6638,0.0,58,1998-11-03,,
"Iraqi Kurdistan parliamentary election, 2009",3.0534,2.2901,6.1069,2.2901,3.0534,0.7634,1.5076,0.0,131,2009-07-25,,
Take Ichi convoy,2.8169,6.337999999999999,5.9859,6.6901,1.4085,1.7606,0.684,2.2711,284,1944-05-09,,
First Jassy–Kishinev Offensive,3.7313,2.9851,5.2239,4.4776,4.4776,1.4925,2.3787,0.3451,134,1944-06-06,,
"United States presidential election, 2016",5.1932,2.8009,9.9146,4.4038,5.7875,1.4655,2.0896,0.2184,53840,2016-11-08,,
Against All Odds (2005),1.8519,3.7037,5.5556,3.7037,5.5556,1.8519,1.787,0.0,108,2005-02-13,,
"Texas gubernatorial election, 1990",7.6923,0.0,7.6923,0.0,0.0,0.0,0.0,0.0,13,1990-11-06,,
Defense of Hengyang,4.2857,7.1429,4.2857,8.5714,0.0,4.2857,0.9964,0.0,70,1944-08-08,,
Battle of Monte Pelado,1.1494,2.2989,5.7471,2.2989,5.7471,2.2989,1.3851,0.0,87,1936-08-28,,
"European Parliament election, 2009 (Sweden)",1.1765,2.3529,4.7059,2.3529,4.7059,1.7647,1.1353,0.0,170,2009-06-07,,
"Michigan gubernatorial election, 2010",3.4915,3.5213,6.1773,4.5360000000000005,3.9988,1.6115,1.7699,0.2492,3351,2010-11-02,,
Operation Delaware,10.6838,8.6895,9.5442,12.6781,2.2792,9.5442,4.8326,1.2201,702,1968-05-17,,
"California's 10th congressional district special election, 2009",6.25,3.3482,9.8214,3.5714,6.4732,1.1161,2.6775,0.1077,448,2009-11-03,,
"New York City Public Advocate election, 2009",0.6494,1.2987,3.2468,1.2987,1.9481,0.6494,0.8214,0.0,154,2009-11-03,,
"South African general election, 1989",7.1429,0.0,7.1429,0.0,0.0,0.0,0.9821,0.0,14,1989-09-06,,
Spanish invasion of Portugal (1762),0.4926,0.9852,1.4778,0.4926,1.4778,0.4926,0.3818,0.0,203,1762-11-24,,
2009 Tonga earthquake,4.0816,2.0408,6.1224,2.0408,4.4218,2.0408,1.6786,0.119,294,2009-03-19,,
Operation Bringing Home the Goods,1.4925,5.9701,0.0,5.9701,0.0,0.0,1.0373,0.7724,67,2006-03-14,,
Balamorghab ambush,3.2609,2.1739,6.5217,5.4348,4.3478,3.2609,0.1685,1.3288,92,2008-11-27,,
Battle of Havana (1870),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1870-11-09,,
"Alaska gubernatorial election, 2010",3.8194,4.1667,7.6389,5.2083,4.8611,2.0833,1.7856,0.3194,288,2010-11-02,,
UFC Fight Night: Condit vs. Kampmann,2.2727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44,2009-04-01,,
"Western Australian state election, 1933",5.0,3.75,7.5,4.375,3.125,1.875,1.9516,0.5062,160,1933-04-08,,
Dream 9,0.0,7.5,2.5,7.5,2.5,7.5,0.9313,1.3375,40,2009-05-26,,
Egyptian raid on Larnaca International Airport,1.4286,2.8571,4.2857,2.8571,4.2857,1.4286,1.3286,0.0,70,1978-02-19,,
Battle of Salt River Canyon,1.8182,3.6364,5.4545,3.6364,5.4545,1.8182,1.9727,0.0,55,1872-12-28,,
1976 Papua earthquake,1.7241,3.4483,5.1724,3.4483,5.1724,1.7241,2.9569,0.0,58,1976-06-25,Indonesia,Asia
"Tamil Nadu Legislative Assembly election, 1980",0.0,0.0,10.0,0.0,20.0,0.0,0.0,0.0,10,1980-05-28,,
"Algerian legislative election, 1991",5.2632,10.5263,15.7895,10.5263,10.5263,10.5263,0.0,0.0,19,1991-12-26,,
2012 UEFA Europa League Final,1.8293,1.8293,4.2683,1.8293,2.439,1.2195,0.8171,0.0,164,2012-05-09,,
Battle of Vlotho,1.4493,1.4493,4.3478,1.4493,2.8986,1.4493,1.3804,0.0,69,1638-10-17,Germany,Europe
Battle of Warsaw (1705),6.3889,2.963,8.5185,4.6296,5.462999999999999,1.3889,1.2016,0.1148,1080,1705-07-31,,
"United States Senate election in Arizona, 2006",3.2258,3.2258,9.6774,3.2258,6.4516,3.2258,1.0376,0.0,93,2006-11-07,,
"Tamil Nadu Legislative Assembly election, 1977",2.1277,2.1277,8.5106,6.382999999999999,6.382999999999999,2.1277,0.0,1.0,47,1977-06-10,,
"Tamil Nadu Legislative Assembly election, 1989",4.1026,2.0513,5.1282,2.5641,4.1026,0.5128,0.1538,0.0,195,1989-03-11,,
"Tamil Nadu Legislative Assembly election, 1996",6.25,0.0,6.25,0.0,6.25,0.0,0.0,0.0,16,1996-05-02,,
Battle on the Raxa,4.2553,2.1277,7.8014,1.4184,2.1277,1.4184,5.1809,0.0,141,0955-10-16,,
Take No Prisoners (2009),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2009-06-12,,
"Idaho gubernatorial election, 2010",2.9197,2.9197,5.8394,2.9197,4.3796,1.4599,1.5182,0.0,137,2010-11-02,,
"Maine gubernatorial election, 2010",5.0207,4.1456,8.5214,6.8632,5.3432,2.3491,1.7696,0.3047,2171,2010-11-02,,
"Florida gubernatorial election, 2010",3.3708,1.1236,5.6179999999999986,2.2472,4.4944,1.1236,1.7697,0.0,89,2010-11-02,,
Siege of Nice,1.5152,3.0303,4.5455,3.0303,4.5455,1.5152,2.553,0.0,66,1543-08-22,France,Europe
"Mount Albert by-election, 2009",4.0404,2.6630000000000003,5.6015,3.3976,5.0505,1.5611,2.1407,0.2383,1089,2009-06-13,,
"United Kingdom general election, 1880",8.9286,1.7857,10.7143,7.1429,3.5714,0.0,2.2768,0.0,56,1880-04-27,,
AS Adema 149–0 SO l'Emyrne,11.6279,4.6512,9.3023,4.6512,6.9767,2.3256,0.6395,0.0,43,2002-10-31,,
2009 L'Aquila earthquake,3.1966,4.5019,6.4465,4.8215,3.2765,2.2376,1.3704,0.6637,3754,2009-04-06,Italy,Europe
Battle of Jitra,4.3796,0.7299,6.5693,1.4599,5.8394,0.7299,1.9526,0.0,137,1941-12-13,Malaysia,Asia
Battle of San Juan de Ulúa (1568),2.093,2.3256,4.186,3.7209,2.3256,1.3953,0.857,1.5401,430,1568-09-23,,
"Moldovan parliamentary election, April 2009",0.8547,1.7094,5.1282,1.7094,2.5641,0.8547,0.8889,0.0,117,2009-04-05,,
"Finnish presidential election, 1994",3.6193,2.5469,8.7131,3.7534,7.3727,1.4745,3.2275,0.245,746,1994-02-06,,
"Botswana general election, 2009",1.7857,3.5714,5.3571,3.5714,5.3571,1.7857,1.7232,0.0,56,2009-10-16,,
WWE The Bash,3.3605,7.2301,6.8228,6.4155,2.7495,2.6477,1.0738,0.5794,982,2009-06-28,,
Siege of Schenkenschans,0.0,5.5556,5.5556,5.5556,5.5556,5.5556,0.0,0.0,18,1636-04-30,,
"Malawian general election, 2009",1.4286,1.9048,3.8095,1.9048,3.3333,0.9524,0.9119,0.2238,210,2009-05-19,,
"Turkish local elections, 2009",11.1111,0.0,11.1111,11.1111,0.0,0.0,0.0,0.0,9,2009-03-29,,
"Iraqi parliamentary election, 2010",2.9648,1.6059,5.6208,2.4089,3.2736,0.6177,0.6794,0.0809,1619,2010-03-07,,
April 2009 raid off Somalia,5.8394,4.3796,9.4891,9.4891,3.6496,6.5693,1.5347,0.5328,137,2009-04-09,,
Portuguese conquest of French Guiana,3.5971,5.7554,7.1942,6.4748,5.0360000000000005,1.4388,0.75,0.0,139,1809-01-14,,
Maersk Alabama hijacking,3.6903,3.835,6.2229,5.2822,3.4009,2.1708,1.3909,0.3772,1382,2009-04-12,,
Battle of Ali Masjid,0.0,5.9701,1.4925,4.4776,1.4925,2.9851,0.2687,0.6679,67,1878-11-21,Pakistan,Asia
Battle of Point 175,9.6774,1.6129,11.2903,3.2258,4.8387,0.0,0.0,0.0,62,1941-12-01,Libya,Africa
Dano-Swedish War (1658–60),5.2632,1.0526,6.3158,3.1579,5.2632,2.1053,2.4921,0.6816,95,1658-08-05,,
Siege of Breda (1637),6.4103,3.8462,11.5385,3.8462,7.6923,2.5641,1.4167,0.0,78,1637-10-11,Netherlands,Europe
"Belgian general election, 1981",2.9851,2.9851,5.9701,4.4776,1.4925,2.9851,1.7127,1.3545,67,1981-11-08,,
1202 Syria earthquake,0.0,7.6923,3.8462,3.8462,3.8462,0.0,0.0,1.875,26,1202-05-20,Syria,Asia
Jameson Raid,2.809,1.1236,4.4944,1.1236,1.6854,1.6854,1.3469,0.0,178,1895-12-29,South Africa,Africa
1944 Cornwall–Massena earthquake,7.6923,0.0,0.0,0.0,7.6923,0.0,0.0,0.0,26,1944-09-05,United States,North America
April 2009 Afghanistan earthquake,7.1429,0.0,7.1429,0.0,0.0,0.0,0.0,0.0,14,2009-04-16,Afghanistan,Asia
Naxalite–Maoist insurgency,2.8209,4.7955,5.9238,6.0649,3.385,2.8209,0.9182,0.7292,709,1967-05-18,,
Battle of Big Dry Wash,3.75,2.5,8.75,3.75,6.25,1.25,1.2406,0.0,80,1882-07-17,,
"United States presidential election in Michigan, 2008",3.0864,1.8519,6.7901,2.4691,4.3210000000000015,1.8519,0.963,0.0,162,2008-11-04,,
"European Parliament election, 2009 (Greece)",1.9608,3.9216,9.8039,3.9216,9.8039,3.9216,1.8922,0.0,51,2009-06-07,,
Second Battle of the Odon,3.3219,3.0928,4.3528,4.1237,2.291,2.7491,1.4608,0.2342,873,1944-07-17,France,Europe
"Philippine presidential election, 2010",6.267,3.5422,8.9918,4.6322,7.6294,1.3624,2.5593,0.5436,367,2010-05-10,,
Third Battle of San Juan (1898),0.0,6.25,6.25,6.25,0.0,6.25,0.0,4.6875,16,1898-06-28,,
Battle of Los Yébenes,2.551,0.5102,4.5918,3.5714,4.0816,0.5102,0.8367,0.273,196,1809-03-24,,
"Argentine legislative election, 2009",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,2009-06-28,,
"London Assembly election, 2004",1.7544,3.5088,5.2632,3.5088,5.2632,1.7544,1.693,0.0,57,2004-06-10,,
"London Assembly election, 2000",1.7544,3.5088,5.2632,3.5088,5.2632,1.7544,1.693,0.0,57,2000-05-04,,
"London Assembly election, 2008",4.7619,7.1429,11.9048,7.1429,7.1429,2.381,8.131,0.1071,42,2008-05-01,,
"Argentine general election, 1999",1.6129,1.6129,4.8387,1.6129,4.8387,1.6129,1.5565,0.0,62,1999-10-24,,
"Argentine general election, 1995",1.7857,3.5714,5.3571,3.5714,5.3571,1.7857,1.7232,0.0,56,1995-05-14,,
"Argentine general election, 1989",1.6667,3.3333,5.0,3.3333,5.0,1.6667,1.6083,0.0,60,1989-05-14,,
"Argentine general election, 1983",1.2195,2.439,3.6585,2.439,3.6585,1.2195,1.1768,0.0,82,1983-10-30,,
"Argentine general election, March 1973",1.6129,1.6129,9.6774,4.8387,6.4516,1.6129,0.0444,0.7581,62,1973-03-11,,
Blockade of Wonsan,1.7241,3.4483,5.1724,3.4483,5.1724,1.7241,1.7672,0.0,58,1951-02-16,,
"Nova Scotia general election, 2009",2.9056,5.569,6.0533,7.5061,3.632,3.3898,2.6180000000000003,0.6937,413,2009-06-09,,
Victory Road (2009),1.4925,2.9851,7.4627,2.9851,7.4627,2.9851,1.4403,0.0,67,2009-07-19,,
"Andorran parliamentary election, 2009",3.8835,1.9417,6.7961,2.9126,6.7961,1.9417,1.716,0.1553,103,2009-04-26,,
1915 Avezzano earthquake,1.6667,5.0,5.8333,5.8333,2.5,0.8333,1.2667,0.7062,120,1915-01-13,Italy,Europe
"Icelandic parliamentary election, 2009",1.8182,1.8182,5.4545,3.6364,5.4545,1.8182,1.7545,0.0,55,2009-04-25,,
"Indian general election, 1989",1.3699,2.7397,5.4795,4.1096,5.4795,1.3699,2.1712,0.0171,73,1989-11-26,,
Dream 10,1.3245,2.649,5.297999999999999,2.649,5.297999999999999,1.9868,1.4768,0.0,151,2009-07-20,,
Battle of Vidattaltivu,0.7634,5.3435,7.6336,3.8168,4.5802,5.3435,0.9905,1.6355,131,2008-07-16,,
"California's 12th congressional district election, 1946",2.3585,2.8302,2.8302,3.7736,2.8302,0.9434,0.9304,0.0307,212,1946-11-05,,
2008 Qeshm earthquake,2.809,2.809,6.1798,1.1236,3.3708,3.3708,1.0941,0.0,178,2008-09-10,,
"Ecuadorian general election, 2009",1.4286,2.8571,7.1429,2.8571,7.1429,2.8571,1.5786,0.0,70,2009-04-26,,
Invasion of South Georgia,2.8942,5.6886,6.9860000000000015,8.5828,4.0918,4.5908,1.6412,2.2076,1002,1982-04-03,,
U-boat Campaign (World War I),1.7312,1.5275,5.1935,4.6843,3.055,3.2587,0.7513,0.0593,982,1914-07-28,,
1948 FA Charity Shield,1.6129,3.2258,4.8387,3.2258,8.0645,1.6129,1.5565,0.0,62,1948-10-06,,
1998 FA Charity Shield,1.0101,5.0505,3.0303,6.0606,3.0303,1.0101,1.1263,0.0303,99,1998-08-09,,
"United States Senate election in Kentucky, 2002",5.5556,2.7778,11.1111,2.7778,2.7778,2.7778,0.0,0.0,36,2002-11-05,,
Night of Champions (2009),1.5748,0.9186,3.6745,1.8373,1.8373,0.6562,0.8563,0.0823,762,2009-07-26,,
Battle of Condore,1.7857,0.0,7.1429,0.0,3.5714,0.0,0.3348,0.0,56,1758-12-09,India,Asia
Conquest of Tunis (1574),4.1667,4.1667,0.0,8.3333,0.0,4.1667,0.3229,0.0,24,1574-09-13,,
Battle of Ambos Nogales,3.4829,3.6169,5.4923,4.6216,2.6792,2.0094,0.7165,0.4206,1493,1918-08-27,,
First Battle of Dragoon Springs,2.5974,2.5974,3.8961,7.7922,2.5974,5.1948,0.0,0.0909,77,1862-05-05,United States,North America
Battle of San Fernando de Omoa,9.7436,4.1026,7.6923,8.2051,3.0769,5.1282,2.4526,0.0821,195,1779-11-29,,
2009 Georgian mutiny,3.3058,8.2645,7.1625,7.7135,2.4793,3.3058,1.2259,0.6322,363,2009-05-05,Georgia,Asia
Battle of Dingle's Mill,1.7241,3.4483,8.6207,3.4483,8.6207,3.4483,1.8707,0.0,58,1865-04-09,United States,North America
Anglo-Russian invasion of Holland,2.9801,3.1457,3.6424,2.8146,1.4901,0.8278,0.7802,0.1656,604,1799-11-19,,
